Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_Register/input_land Islands_state""), ""Riau"")",Chrome 111.0.0.0,,,2023-03-30 11:20:29,2023-03-30 11:20:30,0.691s,PASSED
"click(findTestObject(""Object Repository/Page_Register/button_Next Step   please wait""))",Chrome 111.0.0.0,,,2023-03-30 11:20:30,2023-03-30 11:20:30,0.407s,PASSED
,,,,,,,
Test Cases/Register invalid input email and password,Chrome 111.0.0.0,,,2023-03-30 11:20:30,2023-03-30 11:20:43,12.783s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 11:20:30,2023-03-30 11:20:33,2.267s,PASSED
"navigateToUrl(""https://stage.mobipaid.com/en/register"")",Chrome 111.0.0.0,,,2023-03-30 11:20:33,2023-03-30 11:20:37,4.089s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/Page_Register/input_Login_signatory_first_name""), ""Abiyyu"")",Chrome 111.0.0.0,,,2023-03-30 11:20:37,2023-03-30 11:20:38,1.063s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/Page_Register/input_Login_signatory_last_name""), ""Ramadhan"")",Chrome 111.0.0.0,,,2023-03-30 11:20:38,2023-03-30 11:20:39,0.730s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/Page_Register/input_Login_name""), ""PT. Pranala"")",Chrome 111.0.0.0,,,2023-03-30 11:20:39,2023-03-30 11:20:39,0.776s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/Page_Register/input_land Islands_form-control btn-log bor_48151b""), ""8387273614"")",Chrome 111.0.0.0,,,2023-03-30 11:20:39,2023-03-30 11:20:40,0.796s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page Register (1)/Page_Register/Page_Register/select_Your country                        _da403c""), ""9"", true)",Chrome 111.0.0.0,,,2023-03-30 11:20:40,2023-03-30 11:20:42,1.422s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/Page_Register/input_land Islands_state""), ""Riau"")",Chrome 111.0.0.0,,,2023-03-30 11:20:42,2023-03-30 11:20:42,0.752s,PASSED
"click(findTestObject(""Object Repository/Page Register (1)/Page_Register/Page_Register/button_Next Step   please wait""))",Chrome 111.0.0.0,,,2023-03-30 11:20:42,2023-03-30 11:20:43,0.415s,PASSED
,,,,,,,
Test Cases/Register valid,Chrome 111.0.0.0,,,2023-03-30 11:20:43,2023-03-30 11:20:58,15.520s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-30 11:20:43,2023-03-30 11:20:45,2.054s,PASSED
"navigateToUrl(""https://stage.mobipaid.com/en/register"")",Chrome 111.0.0.0,,,2023-03-30 11:20:45,2023-03-30 11:20:50,4.218s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_Login_signatory_first_name""), ""Abiyyu Taufiq"")",Chrome 111.0.0.0,,,2023-03-30 11:20:50,2023-03-30 11:20:50,0.813s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_Login_signatory_last_name""), ""Ramadhan"")",Chrome 111.0.0.0,,,2023-03-30 11:20:50,2023-03-30 11:20:51,0.752s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_Login_email""), ""abiyyutr@gmail.com"")",Chrome 111.0.0.0,,,2023-03-30 11:20:51,2023-03-30 11:20:52,0.763s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_Login_password""), ""N9Wg6j0VzSd4JW9H55zL+g=="")",Chrome 111.0.0.0,,,2023-03-30 11:20:52,2023-03-30 11:20:52,0.528s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_Login_name""), ""PT. Pranala"")",Chrome 111.0.0.0,,,2023-03-30 11:20:52,2023-03-30 11:20:53,0.803s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_land Islands_form-control btn-log bor_48151b""), ""8128738173"")",Chrome 111.0.0.0,,,2023-03-30 11:20:53,2023-03-30 11:20:54,0.773s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page Register (1)/Page_Register/select_Your country                        _da403c""), ""9"", true)",Chrome 111.0.0.0,,,2023-03-30 11:20:54,2023-03-30 11:20:55,1.351s,PASSED
"setText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_land Islands_state""), ""Riau"")",Chrome 111.0.0.0,,,2023-03-30 11:20:55,2023-03-30 11:20:56,0.816s,PASSED
"click(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_By clicking this box, I accept the,an_f76ab8""))",Chrome 111.0.0.0,,,2023-03-30 11:20:56,2023-03-30 11:20:57,0.394s,PASSED
"click(findTestObject(""Object Repository/Page Register (1)/Page_Register/button_Next Step   please wait""))",Chrome 111.0.0.0,,,2023-03-30 11:20:57,2023-03-30 11:20:57,0.405s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page Register (1)/Page_Register/input_Login_password""), ""N9Wg6j0VzSc+EpstMmUMHA=="")",Chrome 111.0.0.0,,,2023-03-30 11:20:57,2023-03-30 11:20:58,0.964s,PASSED
"click(findTestObject(""Object Repository/Page Register (1)/Page_Register/button_Next Step   please wait""))",Chrome 111.0.0.0,,,2023-03-30 11:20:58,2023-03-30 11:20:58,0.405s,PASSED
